id,Ad,Goster,deguser,degtarsaat,olususer,olustarsaat,Filitre,Filitre_DegerIn,Rap_Tip
1,Emtia Satış,True,,,,,,,
2,Dövizli Satış,True,,,,,,,
3,Kdv Toplam,True,,,,,,,
4,Satış / İade Dökümü,True,,,,,,,
5,Cari Tahsilat / Ödemeler,True,,,,,,,
6,Personel Tahsilat / Ödemeler,True,,,,,,,
7,Gelir / Gider Tahsilat / Ödemeler,True,,,,,,,
8,Genel Tahsilat / Ödemeler,True,,,,,,,
9,Açık Fazla Dağılımı,True,,,,,,,
10,Veresiye Fiş Dökümü,True,,,,,,,
11,Pos Dökümü,True,,,,,,,
12,Nakit Teslimat,True,,,,,,,
13,Vardiya Genel Toplam,True,,,,,,,
